Fichier,Algorithme,Nœuds Explorés,Durée(ms),Ouvert,Fermé,Statut
taquin_4x4d.grid,BFS,50000,75633,49145,49999,LIMIT
taquin_4x4d.grid,BEST_FIRST,2749,330,2921,2748,OK
taquin_4x4d.grid,BEST_FIRST_MISPLACED,16807,12053,16208,16806,OK
taquin_4x4d.grid,BEST_FIRST_LINEAR,376,0,388,375,OK
taquin_5x5.grid,DFS,50000,181674,55181,49999,LIMIT
taquin_5x5.grid,BFS,50000,187891,63524,49999,LIMIT
taquin_5x5.grid,BEST_FIRST,8716,4787,11246,8715,OK
taquin_5x5.grid,BEST_FIRST_MISPLACED,50000,239606,47890,49999,LIMIT
taquin_5x5.grid,BEST_FIRST_LINEAR,586,31,775,585,OK
taquin_5x5b.grid,DFS,50000,151067,56152,49999,LIMIT
taquin_5x5b.grid,BFS,50000,164741,65012,49999,LIMIT
taquin_5x5b.grid,BEST_FIRST,50000,283459,54653,49999,LIMIT
taquin_5x5b.grid,BEST_FIRST_MISPLACED,50000,295098,48773,49999,LIMIT
taquin_5x5b.grid,BEST_FIRST_LINEAR,50000,265098,54653,49999,LIMIT
taquin_5x5c.grid,DFS,50000,220450,55184,49999,LIMIT
taquin_5x5c.grid,BFS,50000,219272,62636,49999,LIMIT
taquin_5x5c.grid,BEST_FIRST,5968,5543,7643,5967,OK
taquin_5x5c.grid,BEST_FIRST_MISPLACED,50000,326649,56799,49999,LIMIT
taquin_5x5c.grid,BEST_FIRST_LINEAR,8850,6655,10786,8849,OK
taquin_5x5d.grid,DFS,50000,152238,55752,49999,LIMIT
taquin_5x5d.grid,BFS,50000,172702,62965,49999,LIMIT
taquin_5x5d.grid,BEST_FIRST,8435,8350,11094,8434,OK
taquin_5x5d.grid,BEST_FIRST_MISPLACED,50000,260873,49041,49999,LIMIT
taquin_5x5d.grid,BEST_FIRST_LINEAR,2462,373,3033,2461,OK
taquin_5x5e.grid,DFS,50000,126347,55986,49999,LIMIT
taquin_5x5e.grid,BFS,50000,155722,63192,49999,LIMIT
taquin_5x5e.grid,BEST_FIRST,1289,141,1754,1288,OK
taquin_5x5e.grid,BEST_FIRST_MISPLACED,1127,94,1459,1126,OK
taquin_5x5e.grid,BEST_FIRST_LINEAR,547,37,688,546,OK
taquin_5x5f.grid,DFS,50000,129676,56156,49999,LIMIT
taquin_5x5f.grid,BFS,50000,189592,62874,49999,LIMIT
taquin_5x5f.grid,BEST_FIRST,23,0,31,22,OK
taquin_5x5f.grid,BEST_FIRST_MISPLACED,1244,141,1692,1243,OK
taquin_5x5f.grid,BEST_FIRST_LINEAR,23,0,31,22,OK
